<!-- Atlas des flux RSS/ATOM - rubrique politique - langue française - par Saynète http://www.saynete.net - http://atlasflux.saynete.net 22_01_2020 -->
"19h17";"http://www.19h17.info/feed/";"politique";
"20minutes : politique";"https://www.20minutes.fr/feeds/rss-politique.xml";"politique";"presse";
"44 Breizh";"https://44breizh.com/feed/";"politique";
"7seizh";"http://7seizh.info/feed/";"politique";
"Adrien Quatennens : blog";"https://adrienquatennens.fr/feed/";"politique";"personnalite";
"Agir - la droite constructive";"https://agir-ladroiteconstructive.fr/feed/";"politique";"parti";
"AgoraVox : politique";"https://www.agoravox.fr/spip.php?page=backend&amp;id_rubrique=31";"politique";
"Alain Juppé : facebook";"http://flux.saynete.com/fbook_alainjuppe.xml?id=120461114685177";"politique";"personnalite";
"Alliance écologiste independante";"https://www.alliance-ecologiste-independante.com/xml/syndication.rss";"politique";"vert";
"Altermonde sans frontière";"http://www.altermonde-sans-frontiere.com/spip.php?page=backend";"politique";"tribune";
"Assemblée nationale : commission des affaires européennes";"http://www2.assemblee-nationale.fr/feeds/detail/ID_415287/(type)/instance";"politique";"institution";
"Assemblée nationale : débats";"http://www2.assemblee-nationale.fr/feeds/detail/crs";"politique";"institution";
"Assemblée nationale : délégation aux droits des femmes";"http://www2.assemblee-nationale.fr/feeds/detail/ID_201269/(type)/instance";"politique";"institution";
"Assemblée nationale : délégation aux outre-mer";"http://www2.assemblee-nationale.fr/feeds/detail/ID_607659/(type)/instance";"politique";"institution";
"Assemblée nationale : documents parlementaires";"http://www2.assemblee-nationale.fr/feeds/detail/documents-parlementaires";"politique";"institution";
"Assemblée nationale : toute l'actualité";"http://www.assemblee-nationale.fr/rss/rss.xml";"politique";"institution";
"Assemblée nationale : travaux de la mission d'évaluation et de contrôle";"http://www2.assemblee-nationale.fr/feeds/detail/ID_393808/(type)/instance";"politique";"institution";
"Assemblée nationale : travaux du comité d'évaluation et de contrôle des politiques publiques";"http://www2.assemblee-nationale.fr/feeds/detail/ID_420375/(type)/instance";"politique";"institution";
"Association des Régions de France";"http://regions-france.org/feed/";"politique";
"Attaque : France";"https://attaque.noblogs.org/feed/";"politique";
"Bastien Faudot : twitter";"http://twitrss.me/twitter_user_to_rss/?user=bastienfaudot";"politique";"personnalite";
"BellaCiao";"http://bellaciao.org/fr/spip.php?page=backend";"politique";
"BFM : diaporama";"https://www.bfmtv.com/rss/diaporama/";"politique";
"BFM : politique";"https://www.bfmtv.com/rss/politique/";"politique";"presse";
"Blanc c'est exprimé";"http://www.blanccestexprime.fr/?feed=rss2";"politique";
"Breizh Europa";"https://www.breizheuropa.bzh/feed";"politique";
"Bretagne info";"http://www.bretagne-info.org/feed/";"politique";
"Bretagne réunie";"https://www.bretagnereunie.bzh/feed/";"politique";"parti";
"Cairn : sciences politiques";"https://www.cairn.info/rss/rss_sciences-politiques.xml";"politique";"universitaire";
"Causeur";"http://www.causeur.fr/feed";"politique";
"CFDT - Confédération Française Démocratique du Travail";"https://www.cfdt.fr/feed/Rss2.jsp?id=hen_5417";"politique";"syndicat";
"CFE-CGC : vidéo - Confédération Française de l'Encadrement CGC";"https://www.youtube.com/feeds/videos.xml?channel_id=UC295FW-0UgDCwv_PlgOdHQQ";"politique";"syndicat";
"CFTC - Confédération Française des Travailleurs Chrétiens";"https://www.cftc.fr/feed";"politique";"syndicat";
"CGT - Confédération Générale du Travail";"https://www.cgt.fr/rss.xml";"politique";"syndicat";
"CGT - Confédération Générale du Travail : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCXbA6-9E-w1m5SwUVuC9VQw";"politique";"syndicat";
"CGT : Nord";"http://www.cgt59.fr?format=feed&amp;type=rss";"politique";"syndicat";
"CGT : services publics : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCET_zg-ueQZca1h32RFKq7Q";"politique";"syndicat";
"Challenges : La République En Marche";"https://www.challenges.fr/politique/la-republique-en-marche/rss.xml";"politique";"parti";
"Challenges : Les Républicains";"https://www.challenges.fr/politique/les-republicains/rss.xml";"politique";"parti";
"Challenges : Parti Socialiste";"https://www.challenges.fr/politique/parti-socialiste/rss.xml";"politique";"parti";
"Challenges : politique";"https://www.challenges.fr/politique/rss.xml";"politique";
"Challenges : Rassemblement National";"https://www.challenges.fr/politique/rassemblement-national/rss.xml";"politique";"parti";
"Charlotte Marchandise-Franquet : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UC0vaEQGLDitNla5EXfXdRZA";"politique";"personnalite";
"Chouard";"http://chouard.org/blog/feed/";"politique";"tribune";
"CNT - Confédération Nationale du Travail";"http://www.cnt-f.org/spip.php?page=backend";"politique";"syndicat";
"Comité de solidarité avec le peuple basque";"http://cspb.unblog.fr/feed/";"politique";
"Confédération Nationale du Travail : Nord Pas-de-Calais Picardie";"http://www.cnt-f.org/59-62/feed/";"politique";"syndicat";
"Confédération Nationale du Travail : Syndicat Unifié du Bâtiment";"http://www.cnt-f.org/subrp/spip.php?page=backend";"politique";"syndicat";
"Confédération paysanne";"https://www.confederationpaysanne.fr/sites/1/rss/rss_communiques_de_presse.xml";"politique";"syndicat";
"Conseil d'État : colloques, séminaires et conférences";"http://www.conseil-etat.fr/Actualites/Colloques-Seminaires-Conferences?rss=1 ";"politique";"institution";
"Conseil d'État : communiqués";"http://www.conseil-etat.fr/Actualites/Communiques?rss=1 ";"politique";"institution";
"Conseil d'État : discours et intervention";"http://www.conseil-etat.fr/Actualites/Discours-Interventions?rss=1 ";"politique";"institution";
"Conseil d'État : dossiers thématiques";"http://www.conseil-etat.fr/Decisions-Avis-Publications/Etudes-Publications/Dossiers-thematiques?rss=1 ";"politique";"institution";
"Conseil d'État : lettre de la justice administrative";"http://www.conseil-etat.fr/Decisions-Avis-Publications/Etudes-Publications/Lettre-de-la-justice-administrative?rss=1 ";"politique";"justice";
"Conseil d'État : marchés publics";"http://www.conseil-etat.fr/Actualites/Marches-publics?rss=1";"politique";"institution";
"Conseil d'État : quoi de neuf";"http://www.conseil-etat.fr/Actualites/Quoi-de-neuf?rss=1";"politique";"institution";
"Conseil d'État : rôle en ligne - principales affaires";"http://www.conseil-etat.fr/Actualites/Role-en-ligne-principales-affaires?rss=1 ";"politique";"institution";
"Contrepoints";"https://www.contrepoints.org/feed";"politique";"tribune";
"Contrepoints : politique";"https://www.contrepoints.org/category/politique/feed";"politique";
"Conversation avec Jacques Attali";"https://blogs.lexpress.fr/attali/feed/";"politique";
"Coordination Rurale";"https://www.coordinationrurale.fr/feed/";"politique";"syndicat";
"Cour de justice de l'union européenne";"https://curia.europa.eu/jcms/rss.jsp?lang=fr&amp;secondLang=en";"politique";"justice";
"Courrier des maires";"http://www.courrierdesmaires.fr/rubriques/toute-l-actu/feed/";"politique";
"Courrier international : politique";"https://www.courrierinternational.com/feed/category/6681/rss.xml";"politique";
"Démocratie Ouverte";"https://medium.com/feed/@OpenDemocracyFR";"politique";"alternatif";
"Debout la france";"http://www.debout-la-france.fr/rss.xml";"politique";"parti";
"Dylan Champeau : facebook";"http://flux.saynete.com/fbook_dylanchampeau.xml?id=223738208127316";"politique";"personnalite";
"En Dehors";"http://endehors.net/index.rdf";"politique";
"Ensemble - Mouvement pour une alternative de gauche écologiste et solidaire";"https://www.ensemble-fdg.org/rss.xml";"politique";"parti";
"Europe Écologie Les Verts";"https://eelv.fr/feed/";"politique";"parti";
"Europe Écologie Les Verts : Europe ";"https://europeecologie.eu/feed/";"politique";"parti";
"Europe Écologie Les Verts : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCB8Q3N-nvX1YlMUL7Zl_16w";"politique";"parti";
"Europe 1 : actualité politique";"https://www.europe1.fr/rss/podcasts/actualite-politique.xml";"politique";
"Europe 1 : Mediapolis";"https://www.europe1.fr/rss/podcasts/mediapolis.xml";"politique";"media";
"Europe 1 : politique";"https://www.europe1.fr/rss/politique.xml";"politique";"presse";
"European Free Alliance Youth";"https://efay.eu/feed/";"politique";"parti";
"Florence Juralina : twitter ";"http://twitrss.me/twitter_user_to_rss/?user=fjuralina";"politique";"personnalite";
"Fondation Res publica";"http://feeds.feedburner.com/fondationrespublica";"politique";
"Force Ouvrière : communiqué";"https://www.force-ouvriere.fr/spip.php?page=backend";"politique";"syndicat";
"François Ruffin";"https://francoisruffin.fr/feed/";"politique";"personnalite";
"François Ruffin : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCIQGSp79vVch0vO3Efqif_w";"politique";"personnalite";
"France Bleu : politique";"https://www.francebleu.fr/rss/infos/politique.xml";"politique";
"France Bonapartiste";"https://francebonapartiste.fr/feed/";"politique";"parti";
"France Diplomatie : conseils aux voyageurs";"https://www.diplomatie.gouv.fr/spip.php?page=backend_fcv";"politique";"voyage";
"France Diplomatie : une";"https://www.diplomatie.gouv.fr/spip.php?page=backend-fd";"politique";"institution";
"France Info : Debout la france";"https://www.francetvinfo.fr/politique/debout-la-france.rss";"politique";"parti";
"France Info : Europe-Écologie Les Verts";"https://www.francetvinfo.fr/politique/eelv.rss";"politique";"parti";
"France Info : La France insoumise";"https://www.francetvinfo.fr/politique/la-france-insoumise.rss";"politique";"parti";
"France Info : La République En Marche";"https://www.francetvinfo.fr/politique/la-republique-en-marche.rss";"politique";"parti";
"France Info : Les Républicains";"https://www.francetvinfo.fr/politique/les-republicains.rss";"politique";"parti";
"France Info : Parti Communiste Français";"https://www.francetvinfo.fr/politique/parti-communiste-francais.rss";"politique";"parti";
"France Info : Parti Socialiste";"https://www.francetvinfo.fr/politique/ps.rss";"politique";"parti";
"France Info : politique";"https://www.francetvinfo.fr/politique.rss";"politique";"presse";
"France Info : politique 19h20";"http://radiofrance-podcast.net/podcast09/rss_17974.xml";"politique";
"France Info : Rassemblement National";"https://www.francetvinfo.fr/politique/front-national.rss";"politique";"parti";
"France Info : Union des Démocrates et Indépendants";"https://www.francetvinfo.fr/politique/udi.rss";"politique";"parti";
"France3 : élection munipicales : Provence-Alpes Côte d'Azur";"https://france3-regions.francetvinfo.fr/politique/elections/elections-municipales/rss?r=provence-alpes-cote-d-azur";"politique";
"France3 : Bourgogne-Franche-Comté : politique";"https://france3-regions.francetvinfo.fr/politique/rss?r=bourgogne-franche-comte";"politique";
"France3 : Bretagne : politique";"https://france3-regions.francetvinfo.fr/politique/rss?r=bretagne";"politique";
"France3 : Centre : élections municipales";"https://france3-regions.francetvinfo.fr/politique/elections/elections-municipales/rss?r=centre-val-de-loire";"politique";"election";
"France3 : Centre : politique";"https://france3-regions.francetvinfo.fr/politique/rss?r=centre-val-de-loire";"politique";
"France3 : Europe Écologie Les Verts";"https://france3-regions.francetvinfo.fr/politique/europe-ecologie-les-verts/rss";"politique";"parti";
"France3 : Front de Gauche";"https://france3-regions.francetvinfo.fr/politique/front-de-gauche/rss";"politique";"parti";
"France3 : gilets jaunes";"https://france3-regions.francetvinfo.fr/societe/gilets-jaunes/rss";"politique";"syndicat";
"France3 : La République En Marche";"https://france3-regions.francetvinfo.fr/politique/republique-marche/rss";"politique";"parti";
"France3 : Les Républicains";"https://france3-regions.francetvinfo.fr/politique/les-republicains/rss";"politique";"parti";
"France3 : Marine Le Pen";"https://france3-regions.francetvinfo.fr/politique/rassemblement-national/marine-pen/rss";"politique";"personnalite";
